Institute,Ranking,Location,Short Description,Long Description,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,,Full-time faculty (tenured or tenure-track),Ph.D. student/faculty ratio,Female,Male,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)"
University of Washington,24," Seattle, WA","The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $19,026 per year (in-state); full-time: $33,915 per year (out-of-state); part-time: $906 per credit (in-state); and part-time: $1,615 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.6:1. The College of Engineering at University of Washington has 291 full-time faculty on staff.","Graduate students at the University of Washington’s College of Engineering can explore a range of research opportunities—from earthquakes to language processing and data mining—at the 33 different laboratories, institutes, and research centers housed on the school’s Seattle campus. At the UW Engineered Biomaterials Research Center, students and professors work with companies to develop medical implants, and the students at the Center for Collaborative Technology work to develop a new platform for Microsoft, the Center’s benefactor. The broad array of research offerings complements the College of Engineering’s masters and Ph. D. degree offerings. Prospective students can earn master of science or master of engineering degrees in the following engineering disciplines: mechanical, electrical, chemical, computer science, aeronautics and astronautics, civil and environmental, industrial and systems, materials science, bioengineering, and human centered design. The school also offers part-time master’s programs in aerospace engineering, pharmaceutical bioengineering, construction engineering, supply chain transportation and logistics, sustainable transportation, computer science, electrical engineering, industrial and systems engineering, and human centered design. Outside of the classroom, graduate students at the University of Washington’s College of Engineering can get involved with the school’s chapter of Engineers Without Borders, or network through professional societies such as the society of Hispanic Professional Engineers, or the Society of Women Engineers. Notable alumni from the College of Engineering include Bonnie Dunbar, a former astronaut who flew aboard the space shuttles Atlantis, Challenger, Columbia, and Endeavor; and Greg Badros, director of engineering at Facebook.",N/A,N/A,$ 85.00,$ 85.00,(206) 685-2630,uwgrad@uw.edu,https://grad.uw.edu/admissions/apply-now/,http://www.engr.washington.edu,3.6:1,291,3.6:1,31.9,68,,,,
North Carolina State University,26," Raleigh, NC","The College of Engineering at North Carolina State University has a rolling application deadline. The application fee is $75 for U.S. residents and $85 for international students. Its tuition is full-time: $10,100 per year (in-state); full-time: $30,092 per year (out-of-state); part-time: $5,052 per year (in-state); and part-time: $15,046 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.5:1. The College of Engineering at North Carolina State University has 369 full-time faculty on staff.",,06/25,06/25,$ 75.00,$ 85.00,(919) 515-2872,graduate-school@ncsu.edu,https://grad.ncsu.edu/apply/,http://www.engr.ncsu.edu/,3.5:1,369,3.5:1,28.9,71.1,,,,
University of California--Santa Barbara,27," Santa Barbara, CA","The application fee is $120 for U.S. residents and $140 for international students. Its tuition is full-time: $12,570 per year (in-state) and full-time: $27,672 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.2:1. The College of Engineering at University of California--Santa Barbara has 148 full-time faculty on staff.","The UC-Santa Barbara College of Engineering is relatively small, with about 675 graduate students and about 1,220 undergraduates enrolled. Graduate engineering students have five areas in which to study: chemical engineering; computer science; electrical and computer engineering; materials; and mechanical engineering. Master of Science (M.S.) and Ph.D. degrees are offered in each division. Unique multidisciplinary academic programs are also offered, such as the Technology Management Program, which stresses entrepreneurism and new product development, and the Media Arts and Technology Program, particularly suited for students who want to specialize in multimedia engineering; electronic music and design; or visual and spatial arts. With nearly 30 school research centers and institutes, interdisciplinary research is a major focus at UC-Santa Barbara’s College of Engineering. The school often works with outside institutes, including the Kavli Institute for Theoretical Physics and the Marine Science Institute. Graduate students can apply for on-campus housing or can get help locating housing through the school’s Community Housing Office. The school’s website also notes that, in addition to its engineering offerings, UC-Santa Barbara is a great place for surfing, bicycling, studying on the beach, and more.",12/10,12/10,$ 120.00,$ 140.00,(805) 893-2277,gradadmissions@graddiv.ucsb.edu,http://www.graddiv.ucsb.edu/eapp,http://www.graddiv.ucsb.edu,N/A,148,4.2:1,28.1,69.6,N/A,N/A,,
Rice University (Brown),27," Houston, TX","The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $52,070 per year and part-time: $2,893 per credit. The 2021 Ph.D. student-faculty ratio is 5.2:1. The George R. Brown School of Engineering at Rice University (Brown) has 139 full-time faculty on staff.","Graduate students at Rice University’s Brown School of Engineering can join with faculty and outside researchers to explore topics ranging from tissue engineering to geophysics at one of nearly 20 research centers and institutes located at the school’s Houston campus. Research centers at Rice’s engineering school include the Center for Multimedia Communication, which researches algorithms and wireless communication, and the Shell Center for Sustainability. The diverse range of research opportunities supplements the degree offerings at Rice University’s Brown School of Engineering. Graduate students can earn a master’s degree in several areas, including bioengineering, mechanical engineering, and computer science. The school also offers Ph.D. tracks in each of its engineering departments. In addition to classroom and research opportunities, graduate students at the Brown School of Engineering can participate in student groups such as the Graduate Student Association or a professional society, many of which have student chapters at Rice. Notable alumni from Rice University’s Brown School of Engineering include former NASA astronauts John Olivas and Peggy Whitson, who has spent more total time in space than any other woman.",N/A,N/A,$ 85.00,$ 85.00,(713) 348-4002,graduate@rice.edu,http://graduate.rice.edu/,http://engr.rice.edu,"$2,893 per credit",139,5.2:1,35.2,64.8,"$52,070 per year","$2,893 per credit","$52,070 per year","$2,893 per credit"
University of Wisconsin--Madison,29," Madison, WI","The application fee is $75 for U.S. residents and $81 for international students. Its tuition is full-time: $10,728 per year (in-state); full-time: $23,994 per year (out-of-state); part-time: $670 per credit (in-state); and part-time: $1,503 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.5:1. The College of Engineering at University of Wisconsin--Madison has 264 full-time faculty on staff.",,N/A,N/A,$ 75.00,$ 81.00,(608) 262-2433,admissions@grad.wisc.edu,https://apply.grad.wisc.edu,http://www.engr.wisc.edu/,3.5:1,264,3.5:1,24.8,75.2,,,,
Virginia Tech,30," Blacksburg, VA","The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $14,100 per year (in-state); full-time: $28,420 per year (out-of-state); part-time: $7,832 per year (in-state); and part-time: $15,785 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.2:1. The College of Engineering at Virginia Tech has 388 full-time faculty on staff.",,08/01,08/01,$ 75.00,$ 75.00,(540) 231-6691,grads@vt.edu,http://graduateschool.vt.edu/admissions/how-to-apply.html,http://www.graduateschool.vt.edu,3.2:1,388,3.2:1,24.5,75.5,,,,
Ohio State University,30," Columbus, OH","The College of Engineering at Ohio State University has a rolling application deadline. The application fee is $60 for U.S. residents and $70 for international students. Its tuition is full-time: $11,560 per year (in-state); full-time: $37,512 per year (out-of-state); part-time: $723 per credit (in-state); and part-time: $2,345 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.7:1. The College of Engineering at Ohio State University has 268 full-time faculty on staff.","The College of Engineering at the Ohio State University puts a strong emphasis on industry/university research collaboration. The school houses more National Science Foundation Industry University Collaborative Research Centers than any other school in the United States, and maintains a long-standing research and scholarship partnership with Honda of America Manufacturing. Research focuses range from solar energy to clean water to cybersecurity, and complement the array of degree programs offered through the College of Engineering. Graduate student can earn a master’s degree in food, agricultural, and biological engineering; city and regional planning; nuclear engineering, and landscape architecture, to name a few. Students enrolled in the city and regional planning program through the Knowlton School of Architecture and the College of Engineering can earn a fee and tuition waiver through the program’s trainee and internship programs. The waivers are in exchange for 20 hours of work per week in approved partnerships with organizations such as the Ohio Public Utilities Commission and the state of Ohio’s departments of development and transportation. Outside of the classroom, graduate students at Ohio State University’s College of Engineering can become involved in student organizations such as Women in Engineering or the Ohio House of Science and Engineering, which works to increase science, technology, engineering, and math education in central Ohio. Notable graduates of Ohio State’s College of Engineering include Charles Kettering, former head of research for General Motors who invented electronic starters, ignitions, and lighting systems for automobiles.",N/A,N/A,$ 60.00,$ 70.00,(614) 292-9444,gpadmissions@osu.edu,http://gpadmissions.osu.edu/apply/grad.html,https://engineering.osu.edu/graduate/admissions,3.7:1,268,3.7:1,27.9,72.1,,,,
Pennsylvania State University--University Park,32," University Park, PA","The College of Engineering at Pennsylvania State University--University Park has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $24,586 per year (in-state); full-time: $40,812 per year (out-of-state); part-time: $1,024 per credit (in-state); and part-time: $1,701 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.6:1. The College of Engineering at Pennsylvania State University--University Park has 413 full-time faculty on staff.",,N/A,N/A,$ 65.00,$ 65.00,(814) 865-1795,gswww@psu.edu,http://www.gradschool.psu.edu/apply,http://www.gradschool.psu.edu,3.6:1,413,3.6:1,22.6,77.4,,,,
Northeastern University,33," Boston, MA","The College of Engineering at Northeastern University has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $1,689 per credit and part-time: $1,689 per credit. The 2021 Ph.D. student-faculty ratio is 4.5:1. The College of Engineering at Northeastern University has 197 full-time faculty on staff.",,N/A,N/A,$ 75.00,$ 75.00,(617) 373-3994,grad-eng@coe.neu.edu,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,http://www.coe.neu.edu/gse,"$1,689 per credit",197,4.5:1,38.3,61.5,"$1,689 per credit","$1,689 per credit","$1,689 per credit","$1,689 per credit"
New York University (Tandon),33," Brooklyn, NY","The application fee is $90 for U.S. residents and $90 for international students. Its tuition is full-time: $2,021 per credit and part-time: $2,021 per credit. The 2021 Ph.D. student-faculty ratio is 4.2:1. The Tandon School of Engineering at New York University (Tandon) has 88 full-time faculty on staff.",,02/15,12/15,$ 90.00,$ 90.00,(646) 997-3200,engineering.gradinfo@nyu.edu,http://engineering.nyu.edu/admissions/graduate,http://engineering.nyu.edu/,"$2,021 per credit",88,4.2:1,31.4,68.6,"$2,021 per credit","$2,021 per credit","$2,021 per credit","$2,021 per credit"
University of California--Davis,35," Davis, CA","The application fee is $120 for U.S. residents and $140 for international students. Its tuition is full-time: $13,608 per year (in-state); full-time: $28,710 per year (out-of-state); part-time: $7,887 per year (in-state); and part-time: $15,438 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.4:1. The College of Engineering at University of California--Davis has 169 full-time faculty on staff.","Research opportunities for graduate students at the University of California—Davis’s School of Engineering  range from medical engineering to renewable energy at one of more than 30 research centers, laboratories, and institutes at the school’s campus. Research centers at UC—Davis’s engineering school include the Tahoe Environmental Research Center, which researches and promotes awareness of lakes and their surrounding watersheds, and the Materials Design Institute. The diverse range of research opportunities complements the degree offerings at UC—Davis’s School of Engineering. Graduate students can earn master’s degrees in 10 different areas, some of which include biomedical engineering, chemical engineering, and computer science. Opportunities to study beyond a master’s degree are available as well, as Ph.D. tracks are offered in each of the school’s engineering departments. In addition to classroom and research opportunities, graduate students at UC—Davis can participate in student groups such as the Robotics Club or the Computer Science Club.  The school also has special interest groups that include Rocket Club and Women in Science and Engineering. Numerous professional societies also have student chapters at UC—Davis. Notable alumni from UC—Davis’s School of Engineering include former NASA astronauts Stephen Robinson and Tracy Caldwell Dyson.",N/A,N/A,$ 120.00,$ 140.00,(530) 752-0650,gradadmit@ucdavis.edu,https://grad.ucdavis.edu/apply,https://engineering.ucdavis.edu,4.4:1,169,4.4:1,30.8,67.7,,,,
Boston University,35," Boston, MA","The application fee is $95 for U.S. residents and $95 for international students. Its tuition is full-time: $58,560 per year and part-time: $1,830 per credit. The 2021 Ph.D. student-faculty ratio is 4.6:1. The College of Engineering at Boston University has 151 full-time faculty on staff.","Graduate students at Boston University’s College of Engineering can get their hands into groundbreaking research, collaborating with the award-winning faculty, to contribute to a tradition of innovation that traces its roots back to the invention of the telephone. The school houses 20 major laboratories and 12 research centers focused on areas ranging from robotics to quantum imaging to neuromuscular research.
	On the academics side, Boston University’s College of Engineering offers full-time master of science and/or master of engineering degrees in nine different areas, including manufacturing engineering, photonics, biomedical engineering, and electrical engineering. Students can also combine their master of science in engineering with an M.B.A. from the School of Management, pursue a doctorate in one of six areas, or earn a joint Ph.D./M.D. with the School of Medicine.
	Outside of the classroom, students can gain global experience via study abroad programs in Germany, Israel, France, and several other countries. Graduate students at Boston University’s College of Engineering can also lend their skills to a humanitarian causes through the school’s chapter of Engineers Without Borders, which works on projects locally and internationally; U-Design, a summer program that encourages middle school students to explore engineering; and Boston Urban Fellows, which pairs graduate engineering students with teachers in area grade schools and high schools.
	Notable alumni from Boston University’s College of Engineering include J Allard, former chief experience officer and chief technology officer of Microsoft’s Entertainment and Devices Division, who earned his bachelor’s from the College of Engineering before being awarded an honorary doctorate from the school in 2009.",01/15,12/15,$ 95.00,$ 95.00,(617) 353-9760,enggrad@bu.edu,http://www.bu.edu/eng/prospective-graduate/apply/,http://www.bu.edu/eng,"$1,830 per credit",151,4.6:1,32.1,67.9,"$58,560 per year","$1,830 per credit","$58,560 per year","$1,830 per credit"
University of Virginia,37," Charlottesville, VA","The School of Engineering and Applied Science at University of Virginia has a rolling application deadline. The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $18,444 per year (in-state); full-time: $30,496 per year (out-of-state); part-time: $751 per credit (in-state); and part-time: $1,400 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.9:1. The School of Engineering and Applied Science at University of Virginia has 154 full-time faculty on staff.","The University of Virginia’s School of Engineering and Applied Science focuses research efforts in four broad areas: bioengineering, nanotechnology, information science and technology, and energy and environment. Graduate students at the school can partner with faculty exploring research areas ranging from tissue engineering to data mining at one of the 40 centers, institutes, and laboratories housed at the school’s Charlottesville campus. These research centers include the Center for Applied Biomechanics, which studies the impact and injury caused by high speed automobile crashes, and the Center for Safe and Secure Nuclear Energy. The diverse range of research opportunities complements the degree offerings at the University of Virginia’s School of Engineering and Applied Science. Graduate students can earn a master of science, master of engineering, or Ph.D. from one of the school’s 10 degree programs. Those departments include biomedical engineering, chemical engineering, civil engineering, and materials science engineering, among others. The school also offers an accelerated master’s degree in systems engineering, and a joint M.E./M.B.A. degree program. In addition to classroom and research opportunities, graduate students at the University of Virginia can gain international experience through study abroad programs in places such as Germany, Argentina, Japan, Brazil, Australia, and France. Service learning opportunities in Guatemala, Panama, Nicaragua, and South Africa are also available to graduate engineering students. Students can also network with the engineering community through one of several professional societies with chapters on campus. Notable alumni from the University of Virginia’s School of Engineering and Applied Science include Steve Huffman, cofounder of the social news site Reddit.com, and William Wulf, former president of the National Academy of Engineering.",12/15,12/15,$ 85.00,$ 85.00,(434) 924-3635,gradengineeringinfo@virginia.edu,https://engineering.virginia.edu/future-grads/graduate-admission,https://engineering.virginia.edu,N/A,154,4.9:1,24.2,75.8,N/A,,,
Yale University,38," New Haven, CT","The application fee is $105 for U.S. residents and $105 for international students. Its tuition is full-time: $45,700 per year and part-time: $5,712 per credit. The 2021 Ph.D. student-faculty ratio is 4.4:1. The School of Engineering and Applied Science at Yale University has 94 full-time faculty on staff."," Graduate students at Yale’s School of Engineering and Applied Science can partner with faculty and outside researchers to delve into topics ranging from bioengineering to nanoscience and quantum engineering at one of the many research centers and facilities housed at the school’s campus in New Haven, Connecticut. Research centers at Yale’s engineering school include the Center for Green Chemistry and Green Engineering, which researches and develops environmentally friendly products and processes, and the DNA Analysis Facility. The diverse range of research opportunities complements the degree offerings at Yale’s School of Engineering and Applied Science. Graduate students can earn master’s degrees in biomedical, electrical, chemical, environmental and mechanical engineering, as well as materials science. The school also offers doctoral programs in each department, as well as opportunities to take courses or conduct research without pursuing a degree. In addition to classroom and research opportunities, graduate students at Yale’s School of Engineering and Applied Science can participate in professional associations and student groups, such as Design for America, which focuses on innovation.  Notable alumni from Yale’s School of Engineering and Applied Science include Eric R. Fossum, who created a tiny ""camera on a chip"" that is used in numerous devices, from smartphones to pill cameras; and Tze-Chiang Chen, vice president of science and technology at IBM.",12/15,12/15,$ 105.00,$ 105.00,(203) 432-2771,graduate.admissions@yale.edu,http://gsas.yale.edu,http://www.seas.yale.edu,N/A,94,4.4:1,30,70,"$45,700 per year","$5,712 per credit","$45,700 per year",N/A
University of California--Irvine (Samueli),38," Irvine, CA","The Henry Samueli School of Engineering at University of California--Irvine (Samueli) has a rolling application deadline. The application fee is $120 for U.S. residents and $140 for international students. Its tuition is full-time: $11,442 per year (in-state); full-time: $26,544 per year (out-of-state); part-time: $5,721 per year (in-state); and part-time: $13,272 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.9:1. The Henry Samueli School of Engineering at University of California--Irvine (Samueli) has 242 full-time faculty on staff."," Graduate students at the University of California—Irvine’s Henry Samueli School of Engineering can partner with faculty and scientists to delve into topics ranging from cardiovascular technology to telecommunications at one of more than a dozen research centers, facilities, and institutes housed on the school’s campus. Research centers at the school include the National Fuel Cell Research Center, which was commissioned by the U.S. Department of Energy and the California Energy Commission, and the Institute of Transportation Studies. The diverse range of research opportunities complements the degree offerings at UC—Irvine’s Henry Samueli School of Engineering. Graduate students can earn a master’s degree in several areas, including biomedical engineering, engineering management, and mechanical and aerospace engineering. The school also offers Ph.D. tracks in all but one of their engineering programs. In addition to classroom and research opportunities, graduate students at the Henry Samueli School of Engineering can participate in student groups such as the Engineering Student Council or the Electric Vehicle Association. A range of professional societies also have student chapters at UC—Irvine.",01/15,01/15,$ 120.00,$ 140.00,(949) 824-8090,gradengr@uci.edu,https://grad.uci.edu/admissions/applying-to-uci/,https://engineering.uci.edu/,3.9:1,242,3.9:1,28.7,71.2,,,,
Arizona State University (Fulton),40," Tempe, AZ","The application fee is $70 for U.S. residents and $115 for international students. Its tuition is full-time: $11,720 per year (in-state); full-time: $31,400 per year (out-of-state); part-time: $837 per credit (in-state); and part-time: $1,308 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.8:1. The Ira A. Fulton Schools of Engineering at Arizona State University (Fulton) has 317 full-time faculty on staff.",,N/A,N/A,$ 70.00,$ 115.00,(480) 965-6113,gograd@asu.edu,https://admission.asu.edu/graduate/apply,http://engineering.asu.edu,2.8:1,317,2.8:1,24.3,75.6,,,,
University of Minnesota--Twin Cities,41," Minneapolis, MN","The application fee is $75 for U.S. residents and $95 for international students. Its tuition is full-time: $1,487 per credit (in-state); full-time: $2,301 per credit (out-of-state); part-time: $1,487 per credit (in-state); and part-time: $2,301 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.7:1. The College of Science and Engineering at University of Minnesota--Twin Cities has 239 full-time faculty on staff.",,12/15,12/15,$ 75.00,$ 95.00,(612) 625-3014,gsquest@umn.edu,https://grad.umn.edu/admissions/application-instructions,http://www.cse.umn.edu,3.7:1,239,3.7:1,23.3,75.5,,,,
University of Florida (Werthiem),41," Gainesville, FL","The Herbert Wertheim College of Engineering at University of Florida (Werthiem) has a rolling application deadline. The application fee is $30 for U.S. residents and $30 for international students. Its tuition is full-time: $10,770 per year (in-state); full-time: $27,335 per year (out-of-state); part-time: $449 per credit (in-state); and part-time: $1,139 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.9:1. The Herbert Wertheim College of Engineering at University of Florida (Werthiem) has 325 full-time faculty on staff.",,01/15,12/05,$ 30.00,$ 30.00,(352) 392-0943,admissions@eng.ufl.edu,http://www.admissions.ufl.edu/apply/graduate,http://www.eng.ufl.edu,2.9:1,325,2.9:1,24.5,75.5,,,,
Rensselaer Polytechnic Institute,43," Troy, NY","The School of Engineering at Rensselaer Polytechnic Institute has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $57,100 per year and part-time: $2,380 per credit. The 2021 Ph.D. student-faculty ratio is 3.9:1. The School of Engineering at Rensselaer Polytechnic Institute has 130 full-time faculty on staff.","Rensselaer Polytechnic Institute’s School of Engineering dedicates more than $40 million annually to research initiatives across eight interdisciplinary research centers, including the Center for Earthquake Engineering Simulation and the Center for Fuel Cell and Hydrogen Research. The collaborative research centers at RPI’s School of Engineering combine engineering expertise with the university’s other schools and departments. Graduate students at the Troy, N.Y., school can partner with faculty exploring research areas ranging from radiation exposure to energy efficiency at the International Space Station.
	The diverse range of research opportunities complements the degree offerings at Rensselaer’s School of Engineering, which offers 20 different graduate degrees across the school’s seven departments. Those departments include biomedical engineering; civil and environmental engineering; chemical and biological engineering; decision sciences and engineering systems; electrical, computer, and systems engineering; mechanical, aerospace, and nuclear engineering; and materials science and engineering. The School of Engineering, which also offers four part-time degree programs, enrolls 45 percent of all grad students at RPI.
	In addition to classroom and research opportunities, graduate students at Rensselaer can participate in community outreach initiatives such as Engineers Without Borders or Habitat for Humanity. Students can also network with the engineering community through one of several professional societies with chapters on campus.
	Notable alumni from Rensselaer Polytechnic Institute’s School of Engineering include Claire Fraser-Liggett, a leading microbiologist and former director of the Institute for Genomic Research; and Steven Sasson, inventor of the first digital camera.",01/01,01/01,$ 75.00,$ 75.00,(518) 276-6216,gradadmissions@rpi.edu,https://apply.rpi.edu/apply/,http://www.rpi.edu,"$2,380 per credit",130,3.9:1,22.4,77.6,"$57,100 per year","$2,380 per credit","$57,100 per year","$2,380 per credit"
Vanderbilt University,43," Nashville, TN","The application fee is $95 for U.S. residents and $95 for international students. Its tuition is full-time: $38,700 per year and part-time: $2,150 per credit. The 2021 Ph.D. student-faculty ratio is 4.6:1. The School of Engineering at Vanderbilt University has 108 full-time faculty on staff.",,01/01,01/01,$ 95.00,$ 95.00,(615) 322-0236,apply@vanderbilt.edu,http://www.vanderbilt.edu/gradschool/,http://engineering.vanderbilt.edu,N/A,108,4.6:1,23.9,76.1,"$38,700 per year","$2,150 per credit","$38,700 per year",N/A
University of Delaware,45," Newark, DE","The College of Engineering at University of Delaware has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $17,100 per year (in-state); full-time: $17,100 per year (out-of-state); part-time: $950 per credit (in-state); and part-time: $950 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.6:1. The College of Engineering at University of Delaware has 149 full-time faculty on staff.",,07/01,07/01,$ 75.00,$ 75.00,(302) 831-2129,gradadmissions@udel.edu,https://grad-admissions.udel.edu/apply/,https://www.udel.edu/academics/colleges/grad/,4.6:1,149,4.6:1,23.8,76.2,,,,
Case Western Reserve University (Case),45,"eveland, OH","The Case School of Engineering at Case Western Reserve University (Case) has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $49,358 per year and part-time: $2,057 per credit. The 2021 Ph.D. student-faculty ratio is 3.9:1. The Case School of Engineering at Case Western Reserve University (Case) has 100 full-time faculty on staff.",,N/A,N/A,$ 50.00,$ 50.00,(216) 368-4390,gradadmit@case.edu,https://applygrad.case.edu/apply/,https://case.edu/gradstudies/,"$2,057 per credit",100,3.9:1,21.6,78.4,"$49,358 per year","$2,057 per credit","$49,358 per year","$2,057 per credit"
University of Rochester (Hajim),45," Rochester, NY","The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $1,818 per credit and part-time: $1,818 per credit. The 2021 Ph.D. student-faculty ratio is 4.3:1. The Hajim School of Engineering and Applied Sciences at University of Rochester (Hajim) has 94 full-time faculty on staff.",,01/15,01/15,$ 60.00,$ 60.00,(585) 275-2059,ASEGEPA@rochester.edu,http://apply.grad.rochester.edu,http://www.Hajim.rochester.edu,"$1,818 per credit",94,4.3:1,32.3,67.7,"$1,818 per credit","$1,818 per credit","$1,818 per credit","$1,818 per credit"
University of Notre Dame,48," Notre Dame, IN","The College of Engineering at University of Notre Dame has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $58,190 per year. The 2021 Ph.D. student-faculty ratio is 4.2:1. The College of Engineering at University of Notre Dame has 143 full-time faculty on staff.",,01/01,01/01,$ 75.00,$ 75.00,(574) 631-7706,gradapp@nd.edu,http://graduateschool.nd.edu/admissions,http://www.nd.edu,"$3,233 per credit",143,4.2:1,16.7,83.3,"$58,190 per year",N/A,"$58,190 per year","$3,233 per credit"
University of Dayton,48," Dayton, OH","The School of Engineering at University of Dayton has a rolling application deadline. The application fee is $0 for U.S. residents and $0 for international students. Its tuition is full-time: $1,005 per credit and part-time: $1,005 per credit. The 2021 Ph.D. student-faculty ratio is 1.6:1. The School of Engineering at University of Dayton has 87 full-time faculty on staff.",,08/01,08/01,$ 0.00,$ 0.00,(800) 837-7433,gradadmission@udayton.edu,https://www.udayton.edu/apply/graduate/index.php,https://www.udayton.edu/,N/A,87,1.6:1,25.9,74.1,"$1,005 per credit","$1,005 per credit","$1,095 per credit",N/A
Iowa State University,48," Ames, IA","The College of Engineering at Iowa State University has a rolling application deadline. The application fee is $60 for U.S. residents and $100 for international students. Its tuition is full-time: $12,982 per year (in-state) and full-time: $28,980 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.2:1. The College of Engineering at Iowa State University has 249 full-time faculty on staff.",,02/01,02/01,$ 60.00,$ 100.00,(515) 294-0815,grad_admissions@iastate.edu,https://www.admissions.iastate.edu,http://www.engineering.iastate.edu/,N/A,249,3.2:1,24,76,N/A,N/A,,
Washington University in St. Louis (McKelvey),48," St. Louis, MO","The McKelvey School of Engineering at Washington University in St. Louis (McKelvey) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $57,750 per year and part-time: $2,045 per credit. The 2021 Ph.D. student-faculty ratio is 5.7:1. The McKelvey School of Engineering at Washington University in St. Louis (McKelvey) has 96 full-time faculty on staff.",,03/01,12/15,$ 75.00,$ 75.00,(314) 935-5830,engineeringgradadmissions@wustl.edu,https://applyweb.com/cgi-bin/app?s=wustl,http://www.engineering.wustl.edu/,"$2,045 per credit",96,5.7:1,26.8,73.2,"$57,750 per year","$2,045 per credit","$57,750 per year","$2,045 per credit"
University of Pittsburgh (Swanson),48," Pittsburgh, PA","The Swanson School of Engineering at University of Pittsburgh (Swanson) has a rolling application deadline. The application fee is $58 for U.S. residents and $58 for international students. Its tuition is full-time: $27,684 per year (in-state); full-time: $46,952 per year (out-of-state); part-time: $1,312 per credit (in-state); and part-time: $2,220 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.6:1. The Swanson School of Engineering at University of Pittsburgh (Swanson) has 158 full-time faculty on staff.",,07/01,07/01,$ 58.00,$ 58.00,(412) 624-9800,ssoeadm@pitt.edu,https://www.engineering.pitt.edu/graduateapplications,http://www.engineering.pitt.edu,3.6:1,158,3.6:1,23.9,75.6,,,,
Dartmouth College (Thayer),53," Hanover, NH","The Thayer School of Engineering at Dartmouth College (Thayer) has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $58,935 per year. The 2021 Ph.D. student-faculty ratio is 3:1. The Thayer School of Engineering at Dartmouth College (Thayer) has 65 full-time faculty on staff.",,01/01,01/01,$ 50.00,$ 50.00,(603) 646-2606,engineering.admissions@dartmouth.edu,https://engineering.dartmouth.edu/apply,http://engineering.dartmouth.edu,N/A,65,3:1,40,60,"$58,935 per year",N/A,"$58,935 per year",N/A
Brown University,53," Providence, RI","The School of Engineering at Brown University has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $8,879 per credit and part-time: $8,879 per credit. The 2021 Ph.D. student-faculty ratio is 2.7:1. The School of Engineering at Brown University has 91 full-time faculty on staff.",,05/15,12/31,$ 75.00,$ 75.00,(401) 863-2600,graduate_admissions@brown.edu,http://www.brown.edu/academics/gradschool/application-information,http://www.brown.edu/academics/gradschool,"$7,618 per credit",91,2.7:1,33.2,66.8,"$8,879 per credit","$8,879 per credit","$60,944 per year","$7,618 per credit"
